model_version,date,bankroll_eod,bets_that_day,pnl_that_day
v1_team_records,2026-05-14,10405.0,4,405.0
v1_team_records,2026-05-15,11025.53,10,620.54
v1_team_records,2026-05-16,10823.9,10,-201.64000000000004
v1_team_records,2026-05-17,11321.84,12,497.94
v1_team_records,2026-05-19,11681.37,11,359.53000000000003
v1_team_records,2026-05-20,11690.08,12,8.719999999999999
v1_team_records,2026-05-21,11459.39,6,-230.69
v1_team_records,2026-05-22,11662.89,10,203.5
v1_team_records,2026-05-23,11499.9,8,-162.99
v1_team_records,2026-05-24,11390.9,11,-109.0
v1_team_records,2026-05-25,11649.93,11,259.03
v1_team_records,2026-05-26,11447.98,12,-201.94
v1_team_records,2026-05-27,10767.35,13,-680.63
v1_team_records,2026-05-28,11249.09,6,481.74
v1_team_records,2026-05-29,11679.88,8,430.8
v1_team_records,2026-06-05,11742.45,8,62.56999999999999
v1_team_records,2026-06-06,11742.45,9,0.0
v1_team_records,2026-06-07,10942.45,10,-800.0
v1_team_records,2026-06-08,11094.45,5,152.0
v1_team_records,2026-06-09,11013.54,11,-80.91
v1_team_records,2026-06-10,11209.54,10,196.0
