date_evaluated,model_version,n_games,accuracy,log_loss,brier
2026-05-20,v1_team_records,71,0.6197,0.6634,0.2353
2026-05-21,v1_team_records,86,0.6395,0.6601,0.2336
2026-05-22,v1_team_records,93,0.6344,0.6585,0.2329
2026-05-23,v1_team_records,107,0.6262,0.6639,0.2355
2026-05-24,v1_team_records,122,0.5984,0.6729,0.24
2026-05-25,v1_team_records,138,0.5797,0.6797,0.2434
2026-05-26,v1_team_records,151,0.5695,0.6803,0.2437
2026-05-27,v1_team_records,166,0.5602,0.6788,0.2429
2026-05-28,v1_team_records,181,0.558,0.6802,0.2436
2026-05-29,v1_team_records,187,0.5615,0.6794,0.2432
2026-05-30,v1_team_records,202,0.5743,0.6757,0.2414
2026-06-01,v1_team_records,202,0.5743,0.6757,0.2414
2026-06-05,v1_team_records,202,0.5743,0.6757,0.2414
2026-06-06,v1_team_records,217,0.5668,0.6769,0.242
2026-06-07,v1_team_records,231,0.5671,0.6752,0.2411
2026-06-08,v1_team_records,246,0.565,0.678,0.2425
2026-06-09,v1_team_records,254,0.5787,0.676,0.2415
2026-06-10,v1_team_records,269,0.5688,0.6782,0.2426
2026-06-11,v1_team_records,284,0.5634,0.6803,0.2437
